District,Block,Cluster,Grama Panchayat
Chamarajanagara,Chamaraja nagar,Bagali,Demahalli
Ballari,Siruguppa,Talur,Uththanuru
Bengaluru rural,Nelamangala,Maralakunte,Maralakunte
Chikkaballapura,Chintamani,Nandiganahalli,Peddur
Chitradurga,Chitradurga,Bharmasagara,Bharmasagara
Dharwad,Kundagol,Urdu kundagol,Yeliwal
Gadag,Mundaragi,Dambal,Jantli shirur
Raichur,Sindhanur,Kolbala,Kolabal
Raichur,Raichur,Gadhar,Kamalpur
Ballari,Siruguppa,Sirigeri,Sirigeri
Bengaluru rural,Devanahalli,Boodigere,Gangavara
Chamarajanagara,Yelandur,Maddur,Maddur
Chitradurga,Challakere,T n kote,T.n.kote
Chikkaballapura,Chikkaballapur,Chickballapur rural,Manchanabele
