District,Block,Cluster,Name of the school,Grama Panchayat,Addition,Subtraction,Multiplication,Division
Chamarajanagara,Chamaraja nagar,Bagali,GLPS  ANKANA SETTY MOLE,Demahalli,0,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GLPS  HEBACHALLI,Demahalli,1,1,0,1
Chamarajanagara,Chamaraja nagar,Bagali,GLPS DEMAHALLI MOLE,Demahalli,1,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GLPS DEMAHALLI MOLE,Demahalli,1,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GLPS DEMAHALLI MOLE,Demahalli,1,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  MUDALA AGRAHARA,Demahalli,0,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  MUDALA AGRAHARA,Demahalli,1,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  MUDALA AGRAHARA,Demahalli,1,1,0,1
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  BANAHALLI,Demahalli,1,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  BANAHALLI,Demahalli,0,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  BANAHALLI,Demahalli,1,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  BANAHALLI,Demahalli,1,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  BANAHALLI,Demahalli,0,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  BANAHALLI,Demahalli,1,1,0,1
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,0,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,1,1,0,1
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,1,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,0,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,1,1,0,1
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,0,1,0,1
Chamarajanagara,Chamaraja nagar,Bagali,GHPS DEMAHALLI,Demahalli,0,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  KAMARA VADI,Demahalli,0,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  KAMARA VADI,Demahalli,1,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  KAMARA VADI,Demahalli,1,0,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  KAMARA VADI,Demahalli,1,1,0,0
Chamarajanagara,Chamaraja nagar,Bagali,GHPS  KAMARA VADI,Demahalli,1,0,0,1
Chikkaballapura,Chintamani,Nandiganahalli,GLPS THUMMALAPALLI,Peddur,1,1,1,1
Chikkaballapura,Chintamani,Nandiganahalli,GLPS THUMMALAPALLI,Peddur,1,1,1,1
Chikkaballapura,Chintamani,Nandiganahalli,GLPS VEMPALLI,Peddur,1,1,1,1
Chikkaballapura,Chintamani,Nandiganahalli,GLPS VEMPALLI,Peddur,1,1,0,1
Chikkaballapura,Chintamani,Nandiganahalli,GLPS NEELAPALLI,Peddur,1,1,0,0
Chikkaballapura,Chintamani,Nandiganahalli,GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,Peddur,0,1,0,1
Chikkaballapura,Chintamani,Nandiganahalli,GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,Peddur,1,1,1,1
Chikkaballapura,Chintamani,Nandiganahalli,GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,Peddur,0,1,1,1
